咪咕,#genre# 
江苏公共新闻,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jsggxw 
江苏国际,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jsgj 
江苏教育,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jsjy 
江苏体育休闲,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jstyxx 
优漫卡通,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ymkt
南京新闻综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=njxwzh
南京教科,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=njkj 
南京十八,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=njsb 
淮安新闻综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=haxwzh
连云港新闻综合 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=lygxwzh 
苏州新闻综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=szxwzh 
泰州新闻综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=tzxwzh 
宿迁新闻综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=sqxwzh
徐州新闻综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xzxwzh 
广东影视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gdys
嘉佳卡通,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jjkt 
未知1,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hllmc1 
未知2,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hllmc29
未知3,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hllmc30 
24小时亚洲杯频道 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=24hyzb
CBA经典 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cbajd 
掼蛋精英赛,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gdjys 
高清大片 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gqdp 
和平精英赛事 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hpjxss 
红色轮播台,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hslbt 
经典动画大集合 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jddhdjh 
经典深圳旁边电影 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jdxgdy 
军事迷必看大片 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jsdp
历届春晚回顾 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ljcwhg 
咪咕24小时体育台 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=mg24hty 
玫瑰轮播台,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=mglbt 
NBA经典 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=nbajd 
欧洲足球风云,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ozzqfy 
全民乒乓,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=qmpp 
热剧联播,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=rjlb 
赛事最经典,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=sszjd 
体坛名栏汇,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ttmlh 
UFC格斗精选 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ufcgdjx 
五大联赛经典,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=wdlsjd 
乡村振兴,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xczx 
幸福中国年,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xfzgn 
新片放映厅,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xpfyt 
英雄联盟赛事,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=yxlmss 
周杰伦现场,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=zjlxc 
最强综艺趴,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=zqzyp 
熊猫01高清,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xmpd 
熊猫1 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm1 
熊猫2 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm2
熊猫3 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm3 
熊猫4 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm4 
熊猫5 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm5 
熊猫6 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm6 
熊猫7 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm7
熊猫8 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm8 
熊猫9 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm9 
熊猫10 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=xm10 
龙胜龙脊梯田,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=lsljtt
大藤峡 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dtx 
邕城 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=yc 
遇龙河 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=ylh 
开封金明广场,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=kfjmgc 
开封清明上河园西门,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=kfqmshyxm 
开封连霍高速路口 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=kflhgsgl 
开封鼓楼,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=kfgl 
武汉光谷,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=whgg 
武汉江汉关,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=whjhg 
武汉黄鹤楼,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=whhhl
