📺央视频道,#genre#
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15$订阅源-1920x1080
CCTV-15,http://113.57.111.4:1111/tsfile/live/0015_1.m3u8$订阅源-1920x1080
CCTV-15,http://183.66.15.146:60901/tsfile/live/0015_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17$订阅源-1920x1080
CCTV-17,http://113.57.111.4:1111/tsfile/live/1014_1.m3u8$订阅源-1920x1080

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws$订阅源-1920x1080
广东卫视,http://113.57.111.4:1111/tsfile/live/1022_1.m3u8$订阅源-1920x1080
浙江卫视,http://zhfivel02.cztv.com/channel01/1080p.m3u8?auth_key=2524708799-0-0-adde67b1b344fdd5e512f30a4ae31915$订阅源-1920x1080
浙江卫视,http://113.57.111.4:1111/tsfile/live/1020_1.m3u8$订阅源-1920x1080
湖南卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_HUNAN-HQ/G_HUNAN-HQ.m3u8$订阅源-1920x1080
湖南卫视,http://113.57.111.4:1111/tsfile/live/1016_1.m3u8$订阅源-1920x1080
北京卫视,http://113.57.111.4:1111/tsfile/live/1017_1.m3u8$订阅源-1920x1080
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws$订阅源-1920x1080
湖北卫视,http://113.57.111.4:1111/tsfile/live/1015_1.m3u8$订阅源-1920x1080
安徽卫视,http://113.57.111.4:1111/tsfile/live/1021_1.m3u8$订阅源-1920x1080
重庆卫视,http://113.57.111.4:1111/tsfile/live/1030_1.m3u8$订阅源-1920x1080
东方卫视,http://113.57.111.4:1111/tsfile/live/1018_1.m3u8$订阅源-1920x1080
东方卫视,http://183.66.15.146:60901/tsfile/live/0107_1.m3u8$订阅源-1920x1080
东南卫视,http://113.57.111.4:1111/tsfile/live/1027_1.m3u8$订阅源-1920x1080
甘肃卫视,http://183.66.15.146:60901/tsfile/live/0141_1.m3u8$订阅源-1920x1080
贵州卫视,http://113.57.111.4:1111/tsfile/live/1029_1.m3u8$订阅源-1920x1080
贵州卫视,http://183.66.15.146:60901/tsfile/live/0120_1.m3u8$订阅源-1920x1080
海南卫视,http://113.57.111.4:1111/tsfile/live/1031_1.m3u8$订阅源-1920x1080
河北卫视,http://183.66.15.146:60901/tsfile/live/0117_1.m3u8$订阅源-1920x1080
河南卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_HENAN-HQ/G_HENAN-HQ.m3u8$订阅源-1920x1080
河南卫视,http://113.57.111.4:1111/tsfile/live/1025_1.m3u8$订阅源-1920x1080
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws$订阅源-1920x1080
江苏卫视,http://113.57.111.4:1111/tsfile/live/1019_1.m3u8$订阅源-1920x1080
江西卫视,http://z.b.bkpcp.top/m.php?id=jxws$订阅源-1920x1080
江西卫视,http://113.57.111.4:1111/tsfile/live/1028_1.m3u8$订阅源-1920x1080
辽宁卫视,http://113.57.111.4:1111/tsfile/live/1026_1.m3u8$订阅源-1920x1080
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680$订阅源-1920x1080
内蒙古卫视,http://183.66.15.146:60901/tsfile/live/0109_1.m3u8$订阅源-1920x1080
宁夏卫视,http://183.66.15.146:60901/tsfile/live/0112_1.m3u8$订阅源-1920x1080
山东卫视,http://183.66.15.146:60901/tsfile/live/0131_1.m3u8$订阅源-1920x1080
四川卫视,http://113.57.111.4:1111/tsfile/live/1032_1.m3u8$订阅源-1920x1080
深圳卫视,http://113.57.111.4:1111/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
天津卫视,http://113.57.111.4:1111/tsfile/live/1024_1.m3u8$订阅源-1920x1080
西藏卫视,http://183.66.15.146:60901/tsfile/live/0111_1.m3u8$订阅源-1920x1080

☘️山东频道,#genre#

🌊港·澳·台,#genre#
凤凰资讯,http://cdn3.132.us.kg/live/fhzx/stream.m3u8$订阅源-1920x1080

🎬电影频道,#genre#

🏀体育频道,#genre#
CCTV-5,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8$订阅源-1920x1080
CCTV-5,http://z.b.bkpcp.top/m.php?id=cctv5$订阅源-1920x1080
CCTV-5,http://113.57.111.4:1111/tsfile/live/1004_1.m3u8$订阅源-1920x1080
CCTV-5,http://183.66.15.146:60901/tsfile/live/0005_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p$订阅源-1920x1080
CCTV-5+,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8$订阅源-1920x1080

🪁动画频道,#genre#
动漫秀场,http://221.226.4.10:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
优漫卡通,http://221.226.4.10:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
金鹰卡通,http://183.66.15.146:60901/tsfile/live/0117_2.m3u8$订阅源-1920x1080

🕘️更新时间,#genre#
2025-01-27 00:56:10,http://z.b.bkpcp.top/m.php?id=cctv1$订阅源-1920x1080
