🕘️更新时间,#genre#
CCTV-10,http://111.196.130.52:20000/rtp/239.3.1.63:8116
CCTV-11,http://drive.mxmy.net:8888/udp/239.3.1.152:8120
CCTV-11,http://b.xiongnas.top:8888/rtp/239.3.1.152:8120
CCTV-11,http://114.254.36.94:8888/rtp/239.3.1.152:8120
CCTV-11,http://111.196.130.52:20000/rtp/239.3.1.152:8120
CCTV-11,http://114.248.11.26:23456/rtp/239.3.1.152:8120
CCTV-12,http://221.220.129.160:8012/rtp/239.3.1.64:8124
CCTV-12,http://114.248.11.26:23456/rtp/239.3.1.64:8124
CCTV-12,http://114.254.38.234:8888/rtp/239.3.1.64:8124
CCTV-12,http://114.254.36.94:8888/rtp/239.3.1.64:8124
CCTV-12,http://111.196.130.52:20000/rtp/239.3.1.64:8124
CCTV-13,http://pull-hls-f1.douyincdn.com/media/stream-696564597484421810/playlist.m3u8?keeptime=00093a80&wsSecret=8f3fbd349b74dc8fce15fdde2ee13fca&wsTime=6aacefe1&major_anchor_level=vip&arch_hrchy=s2&s_anchor=1&t_id=037-202609181601372FF90A5B9885CDA836A0-KBwts5
CCTV-13,http://221.220.129.160:8012/rtp/239.3.1.124:8128
CCTV-13,http://114.254.38.234:8888/rtp/239.3.1.124:8128
CCTV-13,http://114.254.36.94:8888/rtp/239.3.1.124:8128
CCTV-13,http://114.248.11.26:23456/rtp/239.3.1.124:8128
CCTV-14,http://111.196.130.52:20000/rtp/239.3.1.65:8132
CCTV-14,http://221.220.129.160:8012/rtp/239.3.1.65:8132
CCTV-14,http://114.248.11.26:23456/rtp/239.3.1.65:8132
CCTV-14,http://123.120.49.149:4022/rtp/239.3.1.65:8132
CCTV-14,http://114.254.38.234:8888/rtp/239.3.1.65:8132
CCTV-15,http://221.220.129.160:8012/rtp/239.3.1.153:8136
CCTV-15,http://114.248.11.26:23456/rtp/239.3.1.153:8136
CCTV-15,http://123.120.49.149:4022/rtp/239.3.1.153:8136
CCTV-15,http://114.254.36.94:8888/rtp/239.3.1.153:8136
CCTV-15,http://114.254.38.234:8888/rtp/239.3.1.153:8136
CCTV-16,http://111.196.130.52:20000/rtp/239.3.1.184:8001
CCTV-16,http://114.248.11.26:23456/rtp/239.3.1.184:8001
CCTV-16,http://drive.mxmy.net:8888/udp/239.3.1.184:8001#http://home.yulei.online:9999/rtp/226.0.2.169:9264
CCTV-16,http://114.254.36.94:8888/rtp/239.3.1.184:8001
CCTV-16,http://114.254.38.234:8888/rtp/239.3.1.184:8001
CCTV-17,http://111.196.130.52:20000/rtp/239.3.1.151:8144
CCTV-17,http://123.120.49.149:4022/rtp/239.3.1.151:8144
CCTV-17,http://114.248.11.26:23456/rtp/239.3.1.151:8144
CCTV-17,http://114.254.38.234:8888/rtp/239.3.1.151:8144
CCTV-17,http://114.254.36.94:8888/rtp/239.3.1.151:8144
